ontology_area_id,atlas_id,axis,atlas_label,normalized_label,side,lobe_or_group,hosts,taro_present,runtime_scope,wiki_target_slug,coverage_class,scope_reason,duplicate_status,canonical_slug,evidence_source,review_status,reviewed_at
dkt:caudalmiddlefrontal:l,dkt,macro,caudalmiddlefrontal · L,caudalmiddlefrontal,L,frontal,middle-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:caudalmiddlefrontal:r,dkt,macro,caudalmiddlefrontal · R,caudalmiddlefrontal,R,frontal,middle-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:frontalpole:l,dkt,macro,frontalpole · L,frontalpole,L,frontal,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:frontalpole:r,dkt,macro,frontalpole · R,frontalpole,R,frontal,,false,fsaverage,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:lateralorbitofrontal:l,dkt,macro,lateralorbitofrontal · L,lateralorbitofrontal,L,frontal,lateral-orbital-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:lateralorbitofrontal:r,dkt,macro,lateralorbitofrontal · R,lateralorbitofrontal,R,frontal,lateral-orbital-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:medialorbitofrontal:l,dkt,macro,medialorbitofrontal · L,medialorbitofrontal,L,frontal,medial-orbital-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:medialorbitofrontal:r,dkt,macro,medialorbitofrontal · R,medialorbitofrontal,R,frontal,medial-orbital-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:paracentral:l,dkt,macro,paracentral · L,paracentral,L,frontal,superior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:paracentral:r,dkt,macro,paracentral · R,paracentral,R,frontal,superior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parsopercularis:l,dkt,macro,parsopercularis · L,parsopercularis,L,frontal,inferior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parsopercularis:r,dkt,macro,parsopercularis · R,parsopercularis,R,frontal,inferior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parsorbitalis:l,dkt,macro,parsorbitalis · L,parsorbitalis,L,frontal,inferior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parsorbitalis:r,dkt,macro,parsorbitalis · R,parsorbitalis,R,frontal,inferior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parstriangularis:l,dkt,macro,parstriangularis · L,parstriangularis,L,frontal,inferior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:parstriangularis:r,dkt,macro,parstriangularis · R,parstriangularis,R,frontal,inferior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:precentral:l,dkt,macro,precentral · L,precentral,L,frontal,precentral-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:precentral:r,dkt,macro,precentral · R,precentral,R,frontal,precentral-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:rostralmiddlefrontal:l,dkt,macro,rostralmiddlefrontal · L,rostralmiddlefrontal,L,frontal,middle-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:rostralmiddlefrontal:r,dkt,macro,rostralmiddlefrontal · R,rostralmiddlefrontal,R,frontal,middle-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
dkt:superiorfrontal:l,dkt,macro,superiorfrontal · L,superiorfrontal,L,frontal,superior-frontal-gyrus,true,taro,dkt-atlas,atlas_overview,machine_match_current_worktree,needs_manual_review,dkt-atlas,ontology+wiki_frontmatter,machine_unreviewed,
